date_hour,part_of_day,friendly_hour
0,Midnight,Midnight
00,Midnight,Midnight
1,Night,"1 am"
01,Night,"1 am"
2,Night,"2 am"
02,Night,"2 am"
3,Night,"3 am"
03,Night,"3 am"
4,Night,"4 am"
04,Night,"4 am"
5,Morning,"5 am"
05,Morning,"5 am"
6,Morning,"6 am"
06,Morning,"6 am"
7,Morning,"7 am"
07,Morning,"7 am"
8,Morning,"8 am"
08,Morning,"8 am"
9,Morning,"9 am"
09,Morning,"9 am"
10,Morning,"10 am"
11,Morning,"11 am"
12,Afternoon,"Noon"
13,Afternoon,"1 pm"
14,Afternoon,"2 pm"
15,Afternoon,"3 pm"
16,Afternoon,"4 pm"
17,Evening,"5 pm"
18,Evening,"6 pm"
19,Evening,"7 pm"
20,Evening,"8 pm"
21,Night,"9 pm"
22,Night,"10 pm"
23,Night,"11 pm"
